Tournament,year,month,day,City,Date,Prize,Surface,Indoor_flag,Currency
Australian Hardcourt Championships,2000,1,3,adélaïde,3/01/2000,300173.9,Dur,0,$
Gold Flake Open,2000,1,3,chennai,3/01/2000,374062.86,Dur,0,$
Qatar Open,2000,1,3,doha,3/01/2000,900521.7,Dur,0,$
Heineken Open,2000,1,10,auckland,10/01/2000,300173.9,Dur,0,$
Sydney International,2000,1,10,sydney,10/01/2000,300173.9,Dur,0,$
Australian Open,2000,1,17,melbourne,17/01/2000,3569219.143,Dur,0,$
Dubai Open,2000,2,7,dubaï,7/02/2000,900521.7,Dur,0,$
Marseille Open,2000,2,7,marseille,7/02/2000,438715.7,Dur,1,$
Sybase Open,2000,2,7,san josé,7/02/2000,323264.2,Dur,1,$
Kroger St. Jude,2000,2,14,memphis,14/02/2000,646528.4,Dur,1,$
ABN AMRO World Tennis Tournament,2000,2,14,rotterdam,14/02/2000,692709,Dur,1,$
AXA Cup,2000,2,21,londres,21/02/2000,646528.4,Dur,1,$
Mexican Open,2000,2,21,mexico,21/02/2000,646528.4,Terre,0,$
Copenhagen Open,2000,2,28,copenhague,28/02/2000,300173.9,Dur,1,$
Citrix Tennis Championships,2000,2,28,delray beach,28/02/2000,300173.9,Dur,0,$
Chevrolet Cup,2000,2,28,santiago,28/02/2000,323264.2,Terre,0,$
Colombia Open,2000,3,6,bogota,6/03/2000,323264.2,Terre,0,$
Franklin Templeton Tennis Classic,2000,3,6,scottsdale,6/03/2000,323264.2,Dur,0,$
Indian Wells TMS,2000,3,13,indian wells,13/03/2000,2262849.4,Dur,0,$
Ericsson Open,2000,3,23,miami,20/03/2000,2493752.4,Dur,0,$
Galleryfurniture.com Tennis Challenge,2000,4,10,atlanta,10/04/2000,323264.2,Terre,0,$
Grand Prix Hassan II,2000,4,10,casablanca,10/04/2000,300173.9,Terre,0,$
Estoril Open,2000,4,10,estoril,10/04/2000,554167.2,Terre,0,$
Monte Carlo Masters,2000,4,17,monte-carlo,17/04/2000,2262849.4,Terre,0,$
Open Seat Godo,2000,4,24,barcelone,24/04/2000,831250.8,Terre,0,$
Mallorca Open,2000,5,1,palma de majorque,1/05/2000,438715.7,Terre,0,$
BMW Open,2000,5,1,munich,1/05/2000,346354.5,Terre,0,$
U.S. Clay Court Championships,2000,5,1,orlando,1/05/2000,300173.9,Terre,0,$
Rome TMS,2000,5,8,rome,8/05/2000,2262849.4,Terre,0,$
Hamburg TMS,2000,5,15,hambourg,15/05/2000,2262849.4,Terre,0,$
Internationaler Raiffeisen Grand Prix,2000,5,22,sankt pölten,22/05/2000,369444.8,Terre,0,$
French Open,2000,5,29,paris,29/05/2000,4215831.592,Terre,0,$
Gerry Weber Open,2000,6,12,halle (westf.),12/06/2000,900521.7,Gazon,0,$
Stella Artois,2000,6,12,londres,12/06/2000,715799.3,Gazon,0,$
Nottingham Open,2000,6,19,nottingham,19/06/2000,323264.2,Gazon,0,$
Heineken Trophy,2000,6,19,bois-le-duc,19/06/2000,346354.5,Gazon,0,$
Wimbledon,2000,6,26,wimbledon,26/06/2000,5139754.849,Gazon,0,$
Swedish Open,2000,7,10,båstad,10/07/2000,323264.2,Terre,0,$
Gstaad Open,2000,7,10,gstaad,10/07/2000,554167.2,Terre,0,$
Hall of Fame Championships,2000,7,10,newport (ri),10/07/2000,323264.2,Gazon,0,$
Dutch Open,2000,7,17,amsterdam,17/07/2000,346354.5,Terre,0,$
Mercedes Cup,2000,7,17,stuttgart,17/07/2000,831250.8,Terre,0,$
Croatia Open,2000,7,17,umag,17/07/2000,346354.5,Terre,0,$
Generali Open,2000,7,24,kitzbühel,24/07/2000,646528.4,Terre,0,$
Mercedes-Benz Cup,2000,7,24,los angeles,24/07/2000,323264.2,Dur,0,$
Tennis Int'l of San Marino,2000,7,24,saint-marin,24/07/2000,300173.9,Terre,0,$
Toronto TMS,2000,7,31,toronto,31/07/2000,2262849.4,Dur,0,$
Cincinnati TMS,2000,8,7,cincinnati,7/08/2000,2262849.4,Dur,0,$
RCA Championships,2000,8,14,indianapolis,14/08/2000,646528.4,Dur,0,$
Legg Mason Classic,2000,8,14,washington,14/08/2000,646528.4,Dur,0,$
The Hamlet Cup,2000,8,21,long island,21/08/2000,360393.4024,Dur,0,$
US Open,2000,8,28,flushing meadows,28/08/2000,5972998.804,Dur,0,$
Open Romania,2000,9,11,bucarest,11/09/2000,323264.2,Terre,0,$
President's Cup,2000,9,11,tachkent,11/09/2000,461806,Dur,0,$
Campionati Internazionali Di Sicilia,2000,9,25,palerme,25/09/2000,323264.2,Terre,0,$
Salem Open,2000,10,2,hong kong,2/10/2000,323264.2,Dur,0,$
Japan Open,2000,10,9,tokyo,9/10/2000,646528.4,Dur,0,$
CA Tennis Trophy,2000,10,9,vienne,9/10/2000,646528.4,Dur,1,$
Heineken Open Shanghai,2000,10,16,shanghai,16/10/2000,323264.2,Dur,0,$
adidas Open,2000,10,16,toulouse,16/10/2000,346354.5,Dur,1,$
Swiss Indoors,2000,10,23,bâle,23/10/2000,900521.7,Moquette,1,$
Kremlin Cup,2000,10,23,moscou,23/10/2000,900521.7,Moquette,1,$
Stuttgart TMS,2000,10,30,stuttgart,30/10/2000,2262849.4,Dur,1,$
Grand Prix de Lyon,2000,11,6,lyon,6/11/2000,715799.3,Moquette,1,$
St. Petersburg Open,2000,11,6,saint-pétersbourg,6/11/2000,715799.3,Dur,1,$
BNP Paribas,2000,11,13,paris,13/11/2000,2262849.4,Moquette,1,$
Samsung Open,2000,11,20,brighton,20/11/2000,346354.5,Dur,1,$
Stockholm Open,2000,11,20,stockholm,20/11/2000,715799.3,Dur,1,$
Masters Cup,2000,11,27,lisbonne,27/11/2000,3417364.4,Dur,1,$
AAPT Championships,2001,1,1,adélaïde,1/01/2001,313449.85,Dur,0,$
TATA Open,2001,1,1,chennai,1/01/2001,335839.125,Dur,0,$
Qatar Open,2001,1,1,doha,1/01/2001,873181.725,Dur,0,$
Heineken Open,2001,1,8,auckland,8/01/2001,313449.85,Dur,0,$
adidas International,2001,1,8,sydney,8/01/2001,335839.125,Dur,0,$
Australian Open,2001,1,15,melbourne,15/01/2001,3195677.642,Dur,0,$
Colombia Open,2001,1,29,bogota,28/01/2001,313449.85,Terre,0,$
Milan Indoors,2001,1,29,milan,29/01/2001,335839.125,Moquette,1,$
Copenhagen Open,2001,2,12,copenhague,12/02/2001,291060.575,Dur,1,$
Marseille Open,2001,2,12,marseille,12/02/2001,425396.225,Dur,1,$
Bellsouth Open,2001,2,12,viña del mar,12/02/2001,313449.85,Terre,0,$
Copa AT&T,2001,2,19,buenos aires,19/02/2001,537342.6,Terre,0,$
Kroger St. Jude,2001,2,19,memphis,19/02/2001,626899.7,Dur,1,$
ABN AMRO World Tennis Tournament,2001,2,19,rotterdam,19/02/2001,671678.25,Dur,1,$
Abierto Mexicano,2001,2,26,acapulco,26/02/2001,626899.7,Terre,0,$
Dubai Championships,2001,2,26,dubaï,26/02/2001,806013.9,Dur,0,$
Sybase Open,2001,2,26,san josé,26/02/2001,335839.125,Dur,1,$
Citrix Tennis Championships,2001,3,5,delray beach,5/03/2001,291060.575,Dur,0,$
Franklin Templeton Tennis Classic,2001,3,5,scottsdale,5/03/2001,335839.125,Dur,0,$
Indian Wells TMS,2001,3,12,indian wells,12/03/2001,2194148.95,Dur,0,$
Ericsson Open,2001,3,19,miami,21/03/2001,2597155.9,Dur,0,$
Grand Prix Hassan II,2001,4,9,casablanca,9/04/2001,291060.575,Terre,0,$
Estoril Open,2001,4,9,estoril,9/04/2001,537342.6,Terre,0,$
Monte Carlo Masters,2001,4,16,monte-carlo,16/04/2001,2194148.95,Terre,0,$
Verizon Tennis Challenge,2001,4,23,atlanta,23/04/2001,335839.125,Terre,0,$
Open Seat Godo,2001,4,23,barcelone,23/04/2001,806013.9,Terre,0,$
U.S. Men's Clay Court Championships,2001,4,30,houston,30/04/2001,291060.575,Terre,0,$
Mallorca Open,2001,4,30,palma de majorque,30/04/2001,425396.225,Terre,0,$
BMW Open,2001,4,30,munich,30/04/2001,335839.125,Terre,0,$
Rome TMS,2001,5,7,rome,7/05/2001,2194148.95,Terre,0,$
Hamburg TMS,2001,5,14,hambourg,14/05/2001,2194148.95,Terre,0,$
Internationaler Raiffeisen Grand Prix,2001,5,21,sankt pölten,21/05/2001,358228.4,Terre,0,$
French Open,2001,5,28,paris,28/05/2001,4209905.53,Terre,0,$
Gerry Weber Open,2001,6,11,halle (westf.),11/06/2001,873181.725,Gazon,0,$
Stella Artois,2001,6,11,londres,11/06/2001,694067.525,Gazon,0,$
Nottingham Open,2001,6,18,nottingham,18/06/2001,335839.125,Gazon,0,$
Heineken Trophy,2001,6,18,bois-le-duc,18/06/2001,335839.125,Gazon,0,$
Wimbledon,2001,6,25,wimbledon,25/06/2001,4904293.67,Gazon,0,$
Swedish Open,2001,7,9,båstad,9/07/2001,335839.125,Terre,0,$
Gstaad Open,2001,7,9,gstaad,9/07/2001,514953.325,Terre,0,$
Hall of Fame Championships,2001,7,9,newport (ri),9/07/2001,335839.125,Gazon,0,$
Dutch Open,2001,7,16,amsterdam,16/07/2001,335839.125,Terre,0,$
Mercedes Cup,2001,7,16,stuttgart,16/07/2001,626899.7,Terre,0,$
Croatia Open,2001,7,16,umag,16/07/2001,335839.125,Terre,0,$
Generali Open,2001,7,23,kitzbühel,23/07/2001,716456.8,Terre,0,$
Mercedes-Benz Cup,2001,7,23,los angeles,23/07/2001,335839.125,Dur,0,$
Idea Prokom Open,2001,7,23,sopot,23/07/2001,335839.125,Terre,0,$
Montreal TMS,2001,7,30,montréal,30/07/2001,2194148.95,Dur,0,$
Cincinnati TMS,2001,8,6,presented by t-mobile,6/08/2001,2194148.95,Dur,0,$
RCA Championships,2001,8,13,indianapolis,13/08/2001,626899.7,Dur,0,$
Legg Mason Classic,2001,8,13,washington,13/08/2001,626899.7,Dur,0,$
Hamlet Cup,2001,8,20,long island,20/08/2001,349451.8042,Dur,0,$
US Open,2001,8,27,flushing meadows,27/08/2001,5891066.038,Dur,0,$
Gelsor Open,2001,9,10,bucarest,10/09/2001,335839.125,Terre,0,$
Brasil Open,2001,9,10,costa do sauípe,10/09/2001,335839.125,Dur,0,$
President's Cup,2001,9,10,tachkent,10/09/2001,470174.775,Dur,0,$
Salem Open,2001,9,24,hong kong,24/09/2001,335839.125,Dur,0,$
Campionati Internazionali Di Sicilia,2001,9,24,palerme,24/09/2001,335839.125,Terre,0,$
Kremlin Cup,2001,10,1,moscou,1/10/2001,873181.725,Moquette,1,$
Japan Open,2001,10,1,tokyo,1/10/2001,626899.7,Dur,0,$
Grand Prix de Lyon,2001,10,8,lyon,8/10/2001,694067.525,Moquette,1,$
CA Tennis Trophy,2001,10,8,vienne,8/10/2001,626899.7,Dur,1,$
Stuttgart TMS,2001,10,15,stuttgart,15/10/2001,2194148.95,Dur,1,$
Swiss Indoors,2001,10,22,bâle,22/10/2001,873181.725,Moquette,1,$
St. Petersburg Open,2001,10,22,saint-pétersbourg,22/10/2001,694067.525,Dur,1,$
Stockholm Open,2001,10,22,stockholm,22/10/2001,694067.525,Dur,1,$
BNP Paribas,2001,10,29,paris,29/10/2001,2194148.95,Moquette,1,$
Masters Cup,2001,11,12,sydney,12/11/2001,3313612.7,Dur,1,$
Heineken Open,2002,1,7,auckland,7/01/2002,313930.568,Dur,0,$
adidas International,2002,1,7,sydney,7/01/2002,336624.344,Dur,0,$
Australian Open,2002,1,14,melbourne,14/01/2002,3713467.669,Dur,0,$
Milan Indoors,2002,1,28,milan,28/01/2002,336624.344,Moquette,1,$
Copenhagen Open,2002,2,11,copenhague,11/02/2002,336624.344,Dur,1,$
Marseille Open,2002,2,11,marseille,11/02/2002,426453.874,Dur,1,$
Bellsouth Open,2002,2,11,viña del mar,11/02/2002,336624.344,Terre,0,$
Copa AT&T,2002,2,18,buenos aires,18/02/2002,378229.6,Terre,0,$
Kroger St. Jude,2002,2,18,memphis,18/02/2002,661901.8,Dur,1,$
ABN AMRO World Tennis Tournament,2002,2,18,rotterdam,18/02/2002,674194.262,Dur,1,$
Abierto Mexicano,2002,2,25,acapulco,25/02/2002,661901.8,Terre,0,$
Dubai Championships,2002,2,25,dubaï,25/02/2002,851016.6,Dur,0,$
Sybase Open,2002,2,25,san josé,25/02/2002,354590.25,Dur,1,$
Citrix Tennis Championships,2002,3,4,delray beach,4/03/2002,354590.25,Dur,0,$
Franklin Templeton Tennis Classic,2002,3,4,scottsdale,4/03/2002,354590.25,Dur,0,$
