Tournament,year,month,day,City,Date_start_tournament,Prize,Surface,Indoor_flag,Currency,ID,pays
Australian Hardcourt Championships,2000,1,3,adélaïde,3/01/2000,300173.9,Hard,0,$,1,australia
Gold Flake Open,2000,1,3,chennai,3/01/2000,374062.86,Hard,0,$,2,india
Qatar Open,2000,1,3,doha,3/01/2000,900521.7,Hard,0,$,3,qatar
Heineken Open,2000,1,10,auckland,10/01/2000,300173.9,Hard,0,$,4,new-zealand
Sydney International,2000,1,10,sydney,10/01/2000,300173.9,Hard,0,$,5,australia
Australian Open,2000,1,17,melbourne,17/01/2000,3569219.143,Hard,0,$,6,australia
Dubai Open,2000,2,7,dubaï,7/02/2000,900521.7,Hard,0,$,7,united arab emirates
Marseille Open,2000,2,7,marseille,7/02/2000,438715.7,Hard,1,$,8,france
Sybase Open,2000,2,7,san josé,7/02/2000,323264.2,Hard,1,$,9,costa rica
ABN AMRO World Tennis Tournament,2000,2,14,rotterdam,14/02/2000,692709,Hard,1,$,11,dutchland
Kroger St. Jude,2000,2,14,memphis,14/02/2000,646528.4,Hard,1,$,10,usa
AXA Cup,2000,2,21,londres,21/02/2000,646528.4,Hard,1,$,12,uk
Mexican Open,2000,2,21,mexico,21/02/2000,646528.4,Clay,0,$,87,mexico
Chevrolet Cup,2000,2,28,santiago,28/02/2000,323264.2,Clay,0,$,72,chile
Citrix Tennis Championships,2000,2,28,delray beach,28/02/2000,300173.9,Hard,0,$,15,usa
Copenhagen Open,2000,2,28,copenhague,28/02/2000,300173.9,Hard,1,$,14,denmark
Colombia Open,2000,3,6,bogota,6/03/2000,323264.2,Clay,0,$,17,colombia
Franklin Templeton Tennis Classic,2000,3,6,scottsdale,6/03/2000,323264.2,Hard,0,$,18,usa
Indian Wells TMS,2000,3,13,indian wells,13/03/2000,2262849.4,Hard,0,$,19,usa
Ericsson Open,2000,3,23,miami,20/03/2000,2493752.4,Hard,0,$,20,usa
Estoril Open,2000,4,10,estoril,10/04/2000,554167.2,Clay,0,$,23,portugal
Galleryfurniture.com Tennis Challenge,2000,4,10,atlanta,10/04/2000,323264.2,Clay,0,$,21,usa
Grand Prix Hassan II,2000,4,10,casablanca,10/04/2000,300173.9,Clay,0,$,22,tunisia
Monte Carlo Masters,2000,4,17,monte-carlo,17/04/2000,2262849.4,Clay,0,$,24,monaco
Open Seat Godo,2000,4,24,barcelone,24/04/2000,831250.8,Clay,0,$,25,spain
BMW Open,2000,5,1,munich,1/05/2000,346354.5,Clay,0,$,27,germany
Mallorca Open,2000,5,1,palma de majorque,1/05/2000,438715.7,Clay,0,$,85,spain
U.S. Clay Court Championships,2000,5,1,orlando,1/05/2000,300173.9,Clay,0,$,99,usa
Rome TMS,2000,5,8,rome,8/05/2000,2262849.4,Clay,0,$,29,italy
Hamburg TMS,2000,5,15,hambourg,15/05/2000,2262849.4,Clay,0,$,30,germany
Internationaler Raiffeisen Grand Prix,2000,5,22,sankt pölten,22/05/2000,369444.8,Clay,0,$,31,austria
French Open,2000,5,29,paris,29/05/2000,4215831.592,Clay,0,$,32,france
Gerry Weber Open,2000,6,12,halle (westf.),12/06/2000,900521.7,Grass,0,$,33,germany
Stella Artois,2000,6,12,londres,12/06/2000,715799.3,Grass,0,$,34,uk
Heineken Trophy,2000,6,19,bois-le-duc,19/06/2000,346354.5,Grass,0,$,36,dutchland
Nottingham Open,2000,6,19,nottingham,19/06/2000,323264.2,Grass,0,$,35,uk
Wimbledon,2000,6,26,wimbledon,26/06/2000,5139754.849,Grass,0,$,37,uk
Gstaad Open,2000,7,10,gstaad,10/07/2000,554167.2,Clay,0,$,39,switzerland
Hall of Fame Championships,2000,7,10,newport,10/07/2000,323264.2,Grass,0,$,40,usa
Swedish Open,2000,7,10,båstad,10/07/2000,323264.2,Clay,0,$,38,sweden
Croatia Open,2000,7,17,umag,17/07/2000,346354.5,Clay,0,$,43,croatia
Dutch Open,2000,7,17,amsterdam,17/07/2000,346354.5,Clay,0,$,41,dutchland
Mercedes Cup,2000,7,17,stuttgart,17/07/2000,831250.8,Clay,0,$,42,germany
Generali Open,2000,7,24,kitzbühel,24/07/2000,646528.4,Clay,0,$,44,austria
Mercedes-Benz Cup,2000,7,24,los angeles,24/07/2000,323264.2,Hard,0,$,45,usa
Tennis Int'l of San Marino,2000,7,24,saint-marin,24/07/2000,300173.9,Clay,0,$,46,san marino
Toronto TMS,2000,7,31,toronto,31/07/2000,2262849.4,Hard,0,$,202,canada
Cincinnati TMS,2000,8,7,cincinnati,7/08/2000,2262849.4,Hard,0,$,48,usa
Legg Mason Classic,2000,8,14,washington,14/08/2000,646528.4,Hard,0,$,50,usa
RCA Championships,2000,8,14,indianapolis,14/08/2000,646528.4,Hard,0,$,49,usa
The Hamlet Cup,2000,8,21,long island,21/08/2000,360393.4024,Hard,0,$,51,usa
US Open,2000,8,28,flushing meadows,28/08/2000,5972998.804,Hard,0,$,52,usa
Open Romania,2000,9,11,bucarest,11/09/2000,323264.2,Clay,0,$,53,romania
President's Cup,2000,9,11,tachkent,11/09/2000,461806,Hard,0,$,54,ouzbekistan
Campionati Internazionali Di Sicilia,2000,9,25,palerme,25/09/2000,323264.2,Clay,0,$,55,italy
Salem Open,2000,10,2,hong kong,2/10/2000,323264.2,Hard,0,$,56,hong-kong
CA Tennis Trophy,2000,10,9,vienne,9/10/2000,646528.4,Hard,1,$,58,austria
Japan Open,2000,10,9,tokyo,9/10/2000,646528.4,Hard,0,$,57,japan
adidas Open,2000,10,16,toulouse,16/10/2000,346354.5,Hard,1,$,60,france
Shanghai Open,2000,10,16,shanghai,16/10/2000,323264.2,Hard,0,$,59,china
Kremlin Cup,2000,10,23,moscou,23/10/2000,900521.7,Carpet,1,$,62,russia
Swiss Indoors,2000,10,23,bâle,23/10/2000,900521.7,Carpet,1,$,61,switzerland
Stuttgart TMS,2000,10,30,stuttgart,30/10/2000,2262849.4,Hard,1,$,63,germany
Grand Prix de Lyon,2000,11,6,lyon,6/11/2000,715799.3,Carpet,1,$,64,france
St. Petersburg Open,2000,11,6,saint-pétersbourg,6/11/2000,715799.3,Hard,1,$,65,russia
BNP Paribas,2000,11,13,paris,13/11/2000,2262849.4,Carpet,1,$,66,france
Samsung Open,2000,11,20,brighton,20/11/2000,346354.5,Hard,1,$,67,uk
Stockholm Open,2000,11,20,stockholm,20/11/2000,715799.3,Hard,1,$,68,sweden
Masters Cup,2000,11,27,lisbonne,27/11/2000,3417364.4,Hard,1,$,300,portugal
AAPT Championships,2001,1,1,adélaïde,1/01/2001,313449.85,Hard,0,$,1,australia
Qatar Open,2001,1,1,doha,1/01/2001,873181.725,Hard,0,$,3,qatar
TATA Open,2001,1,1,chennai,1/01/2001,335839.125,Hard,0,$,2,india
adidas International,2001,1,8,sydney,8/01/2001,335839.125,Hard,0,$,5,australia
Heineken Open,2001,1,8,auckland,8/01/2001,313449.85,Hard,0,$,4,new-zealand
Australian Open,2001,1,15,melbourne,15/01/2001,3195677.642,Hard,0,$,6,australia
Colombia Open,2001,1,29,bogota,28/01/2001,313449.85,Clay,0,$,17,colombia
Milan Indoors,2001,1,29,milan,29/01/2001,335839.125,Carpet,1,$,72,italy
Bellsouth Open,2001,2,12,viña del mar,12/02/2001,313449.85,Clay,0,$,72,chile
Copenhagen Open,2001,2,12,copenhague,12/02/2001,291060.575,Hard,1,$,14,denmark
Marseille Open,2001,2,12,marseille,12/02/2001,425396.225,Hard,1,$,8,france
ABN AMRO World Tennis Tournament,2001,2,19,rotterdam,19/02/2001,671678.25,Hard,1,$,11,dutchland
Copa AT&T,2001,2,19,buenos aires,19/02/2001,537342.6,Clay,0,$,90,argentina
Kroger St. Jude,2001,2,19,memphis,19/02/2001,626899.7,Hard,1,$,10,usa
Abierto Mexicano,2001,2,26,acapulco,26/02/2001,626899.7,Clay,0,$,87,mexico
Dubai Championships,2001,2,26,dubaï,26/02/2001,806013.9,Hard,0,$,7,united arab emirates
Sybase Open,2001,2,26,san josé,26/02/2001,335839.125,Hard,1,$,9,costa rica
Citrix Tennis Championships,2001,3,5,delray beach,5/03/2001,291060.575,Hard,0,$,15,usa
Franklin Templeton Tennis Classic,2001,3,5,scottsdale,5/03/2001,335839.125,Hard,0,$,18,usa
Indian Wells TMS,2001,3,12,indian wells,12/03/2001,2194148.95,Hard,0,$,19,usa
Ericsson Open,2001,3,19,miami,19/03/2001,2597155.9,Hard,0,$,20,usa
Estoril Open,2001,4,9,estoril,9/04/2001,537342.6,Clay,0,$,23,portugal
Grand Prix Hassan II,2001,4,9,casablanca,9/04/2001,291060.575,Clay,0,$,22,tunisia
Monte Carlo Masters,2001,4,16,monte-carlo,16/04/2001,2194148.95,Clay,0,$,24,monaco
Open Seat Godo,2001,4,23,barcelone,23/04/2001,806013.9,Clay,0,$,25,spain
Verizon Tennis Challenge,2001,4,23,atlanta,23/04/2001,335839.125,Clay,0,$,21,usa
BMW Open,2001,4,30,munich,30/04/2001,335839.125,Clay,0,$,27,germany
Mallorca Open,2001,4,30,palma de majorque,30/04/2001,425396.225,Clay,0,$,85,spain
U.S. Men's Clay Court Championships,2001,4,30,houston,30/04/2001,291060.575,Clay,0,$,99,usa
Rome TMS,2001,5,7,rome,7/05/2001,2194148.95,Clay,0,$,29,italy
Hamburg TMS,2001,5,14,hambourg,14/05/2001,2194148.95,Clay,0,$,30,germany
Internationaler Raiffeisen Grand Prix,2001,5,21,sankt pölten,21/05/2001,358228.4,Clay,0,$,31,austria
French Open,2001,5,28,paris,28/05/2001,4209905.53,Clay,0,$,32,france
Gerry Weber Open,2001,6,11,halle (westf.),11/06/2001,873181.725,Grass,0,$,33,germany
Stella Artois,2001,6,11,londres,11/06/2001,694067.525,Grass,0,$,34,uk
Heineken Trophy,2001,6,18,bois-le-duc,18/06/2001,335839.125,Grass,0,$,36,dutchland
Nottingham Open,2001,6,18,nottingham,18/06/2001,335839.125,Grass,0,$,35,uk
Wimbledon,2001,6,25,wimbledon,25/06/2001,4904293.67,Grass,0,$,37,uk
Gstaad Open,2001,7,9,gstaad,9/07/2001,514953.325,Clay,0,$,39,switzerland
Hall of Fame Championships,2001,7,9,newport,9/07/2001,335839.125,Grass,0,$,40,usa
Swedish Open,2001,7,9,båstad,9/07/2001,335839.125,Clay,0,$,38,sweden
Croatia Open,2001,7,16,umag,16/07/2001,335839.125,Clay,0,$,43,croatia
Dutch Open,2001,7,16,amsterdam,16/07/2001,335839.125,Clay,0,$,41,dutchland
Mercedes Cup,2001,7,16,stuttgart,16/07/2001,626899.7,Clay,0,$,42,germany
Generali Open,2001,7,23,kitzbühel,23/07/2001,716456.8,Clay,0,$,44,austria
Idea Prokom Open,2001,7,23,sopot,23/07/2001,335839.125,Clay,0,$,82,poland
Mercedes-Benz Cup,2001,7,23,los angeles,23/07/2001,335839.125,Hard,0,$,45,usa
Montreal TMS,2001,7,30,montréal,30/07/2001,2194148.95,Hard,0,$,202,canada
Cincinnati TMS,2001,8,6,cincinnati,6/08/2001,2194148.95,Hard,0,$,48,usa
Legg Mason Classic,2001,8,13,washington,13/08/2001,626899.7,Hard,0,$,50,usa
RCA Championships,2001,8,13,indianapolis,13/08/2001,626899.7,Hard,0,$,49,usa
Hamlet Cup,2001,8,20,long island,20/08/2001,349451.8042,Hard,0,$,51,usa
US Open,2001,8,27,flushing meadows,27/08/2001,5891066.038,Hard,0,$,52,usa
Brasil Open,2001,9,10,costa do sauípe,10/09/2001,335839.125,Hard,0,$,93,brasil
Gelsor Open,2001,9,10,bucarest,10/09/2001,335839.125,Clay,0,$,53,romania
President's Cup,2001,9,10,tachkent,10/09/2001,470174.775,Hard,0,$,54,ouzbekistan
Shanghai Open,2001,9,17,shanghai,17/09/2001,335839.125,Hard,0,$,59,china
Campionati Internazionali Di Sicilia,2001,9,24,palerme,24/09/2001,335839.125,Clay,0,$,55,italy
Salem Open,2001,9,24,hong kong,24/09/2001,335839.125,Hard,0,$,56,hong-kong
Japan Open,2001,10,1,tokyo,1/10/2001,626899.7,Hard,0,$,57,japan
Kremlin Cup,2001,10,1,moscou,1/10/2001,873181.725,Carpet,1,$,62,russia
CA Tennis Trophy,2001,10,8,vienne,8/10/2001,626899.7,Hard,1,$,58,austria
Grand Prix de Lyon,2001,10,8,lyon,8/10/2001,694067.525,Carpet,1,$,64,france
Stuttgart TMS,2001,10,15,stuttgart,15/10/2001,2194148.95,Hard,1,$,63,germany
St. Petersburg Open,2001,10,22,saint-pétersbourg,22/10/2001,694067.525,Hard,1,$,65,russia
Stockholm Open,2001,10,22,stockholm,22/10/2001,694067.525,Hard,1,$,68,sweden
Swiss Indoors,2001,10,22,bâle,22/10/2001,873181.725,Carpet,1,$,61,switzerland
BNP Paribas,2001,10,29,paris,29/10/2001,2194148.95,Carpet,1,$,66,france
Masters Cup,2001,11,12,sydney,12/11/2001,3313612.7,Hard,1,$,300,australia
adidas International,2002,1,7,sydney,7/01/2002,336624.344,Hard,0,$,5,australia
Heineken Open,2002,1,7,auckland,7/01/2002,313930.568,Hard,0,$,4,new-zealand
Australian Open,2002,1,14,melbourne,14/01/2002,3713467.669,Hard,0,$,6,australia
Milan Indoors,2002,1,28,milan,28/01/2002,336624.344,Carpet,1,$,72,italy
Bellsouth Open,2002,2,11,viña del mar,11/02/2002,336624.344,Clay,0,$,72,chile
Copenhagen Open,2002,2,11,copenhague,11/02/2002,336624.344,Hard,1,$,14,denmark
Marseille Open,2002,2,11,marseille,11/02/2002,426453.874,Hard,1,$,8,france
ABN AMRO World Tennis Tournament,2002,2,18,rotterdam,18/02/2002,674194.262,Hard,1,$,11,dutchland
Copa AT&T,2002,2,18,buenos aires,18/02/2002,378229.6,Clay,0,$,90,argentina
Kroger St. Jude,2002,2,18,memphis,18/02/2002,661901.8,Hard,1,$,10,usa
Abierto Mexicano,2002,2,25,acapulco,25/02/2002,661901.8,Clay,0,$,87,mexico
Dubai Championships,2002,2,25,dubaï,25/02/2002,851016.6,Hard,0,$,7,united arab emirates
Sybase Open,2002,2,25,san josé,25/02/2002,354590.25,Hard,1,$,9,costa rica
Citrix Tennis Championships,2002,3,4,delray beach,4/03/2002,354590.25,Hard,0,$,15,usa
Franklin Templeton Tennis Classic,2002,3,4,scottsdale,4/03/2002,354590.25,Hard,0,$,18,usa
Pacific Life Open,2002,3,11,indian wells,11/03/2002,2316656.3,Hard,0,$,19,usa
NASDAQ-100 Open,2002,3,18,miami,18/03/2002,2907640.05,Hard,0,$,20,usa
Estoril Open,2002,4,8,estoril,8/04/2002,562616.53,Clay,0,$,23,portugal
Grand Prix Hassan II,2002,4,8,casablanca,8/04/2002,336624.344,Clay,0,$,22,tunisia
Monte Carlo Masters,2002,4,15,monte-carlo,15/04/2002,2201296.272,Clay,0,$,24,monaco
Open Seat Godo,2002,4,22,barcelone,22/04/2002,903023.17,Clay,0,$,25,spain
U.S. Men's Clay Court Championships,2002,4,22,houston,22/04/2002,354590.25,Clay,0,$,99,usa
BMW Open,2002,4,29,munich,29/04/2002,336624.344,Clay,0,$,27,germany
Mallorca Open,2002,4,29,palma de majorque,29/04/2002,336624.344,Clay,0,$,85,spain
Rome TMS,2002,5,6,rome,6/05/2002,2201296.272,Clay,0,$,29,italy
Hamburg TMS,2002,5,13,hambourg,13/05/2002,2201296.272,Clay,0,$,30,germany
Internationaler Raiffeisen Grand Prix,2002,5,20,sankt pölten,20/05/2002,336624.344,Clay,0,$,31,austria
French Open,2002,5,27,paris,27/05/2002,4981790.66,Clay,0,$,32,france
Gerry Weber Open,2002,6,10,halle (westf.),10/06/2002,695942.464,Grass,0,$,33,germany
Queens Club,2002,6,10,londres,10/06/2002,695942.464,Grass,0,$,34,uk
Nottingham Open,2002,6,17,nottingham,17/06/2002,336624.344,Grass,0,$,35,uk
Ordina Open,2002,6,17,bois-le-duc,17/06/2002,336624.344,Grass,0,$,36,dutchland
Wimbledon,2002,6,24,wimbledon,24/06/2002,5731267.741,Grass,0,$,37,uk
Gstaad Open,2002,7,8,gstaad,8/07/2002,543705.05,Clay,0,$,39,switzerland
Hall of Fame Championships,2002,7,8,newport,8/07/2002,354590.25,Grass,0,$,40,usa
Swedish Open,2002,7,8,båstad,8/07/2002,336624.344,Clay,0,$,38,sweden
Croatia Open,2002,7,15,umag,15/07/2002,336624.344,Clay,0,$,43,croatia
Energis Open,2002,7,15,amersfoort,15/07/2002,336624.344,Clay,0,$,41,dutchland
Mercedes Cup,2002,7,15,stuttgart,15/07/2002,449147.65,Clay,0,$,42,germany
Generali Open,2002,7,22,kitzbühel,22/07/2002,808465.77,Clay,0,$,44,austria
Idea Prokom Open,2002,7,22,sopot,22/07/2002,336624.344,Clay,0,$,82,poland
Mercedes-Benz Cup,2002,7,22,los angeles,22/07/2002,354590.25,Hard,0,$,45,usa
Toronto TMS,2002,7,29,toronto,29/07/2002,2316656.3,Hard,0,$,202,canada
Cincinnati TMS,2002,8,5,cincinnati,5/08/2002,2316656.3,Hard,0,$,48,usa
Legg Mason Classic,2002,8,12,washington,12/08/2002,661901.8,Hard,0,$,50,usa
RCA Championships,2002,8,12,indianapolis,12/08/2002,661901.8,Hard,0,$,49,usa
TD Waterhouse Cup,2002,8,19,long island,19/08/2002,430236.17,Hard,0,$,51,usa
US Open,2002,8,26,flushing meadows,26/08/2002,6508385.842,Hard,0,$,52,usa
Brasil Open,2002,9,9,costa do sauípe,9/09/2002,516283.404,Hard,0,$,93,brasil
Open Romania,2002,9,9,bucarest,9/09/2002,336624.344,Clay,0,$,53,romania
President's Cup,2002,9,9,tachkent,9/09/2002,496426.35,Hard,0,$,54,ouzbekistan
Campionati Internazionali Di Sicilia,2002,9,23,palerme,23/09/2002,336624.344,Clay,0,$,55,italy
Salem Open,2002,9,23,hong kong,23/09/2002,354590.25,Hard,0,$,56,hong-kong
Japan Open,2002,9,30,tokyo,30/09/2002,661901.8,Hard,0,$,57,japan
Kremlin Cup,2002,9,30,moscou,30/09/2002,921934.65,Carpet,1,$,62,russia
CA Tennis Trophy,2002,10,7,vienne,7/10/2002,723364.11,Hard,1,$,58,austria
Grand Prix de Lyon,2002,10,7,lyon,7/10/2002,695942.464,Carpet,1,$,64,france
Madrid Masters,2002,10,14,madrid,14/10/2002,2201296.272,Hard,1,$,107,spain
St. Petersburg Open,2002,10,21,saint-pétersbourg,21/10/2002,921934.65,Hard,1,$,65,russia
Stockholm Open,2002,10,21,stockholm,21/10/2002,590983.75,Hard,1,$,68,sweden
Swiss Indoors,2002,10,21,bâle,21/10/2002,921934.65,Carpet,1,$,61,switzerland
BNP Paribas,2002,10,28,paris,28/10/2002,2201296.272,Carpet,1,$,66,france
Masters Cup,2002,11,11,shanghai,11/11/2002,3498623.8,Hard,1,$,300,china
AAPT Championships,2001,12,30,adélaïde,31/12/2001,313930.568,Hard,0,$,1,australia
Qatar Open,2001,12,30,doha,31/12/2001,921934.65,Hard,0,$,3,qatar
